rodada,vazao_mbps,retransmissoes,rtt_ms
1,36.2778,886,3.571
2,19.0135,991,1.230
3,37.9572,259,1.172
4,31.1758,317,0.911
5,33.6919,630,1.110
6,32.1893,307,0.996
7,28.6255,513,0.893
8,30.6515,406,1.310
9,30.8625,991,1.165
10,36.6985,354,1.048
11,26.528,117,1.345
12,36.6296,774,1.078
13,42.2899,623,0.888
14,35.6508,315,1.586
15,36.6284,406,1.263
16,32.9939,550,1.219
17,32.365,436,1.169
18,31.5958,1124,1.161
19,33.9373,770,1.494
20,32.2945,728,1.117
21,33.5175,945,1.014
22,28.1,377,1.359
23,28.7999,421,1.004
24,30.7924,369,0.829
25,32.7487,324,1.072
26,34.0078,165,1.172
27,37.5355,331,1.434
28,34.846,286,1.050
29,29.4638,383,0.894
30,36.0339,180,1.012
