rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0312,42,0.977
2,10.0312,52,1.128
3,10.0311,47,0.900
4,10.0312,62,1.200
5,10.0312,42,0.896
6,10.0312,52,1.269
7,10.0311,31,1.958
8,10.0312,48,1.149
9,10.0311,47,1.007
10,10.0312,30,1.099
11,10.0312,51,1.207
12,10.0312,44,1.135
13,10.0312,80,0.982
14,10.0311,58,1.147
15,10.0311,47,1.019
16,10.0312,26,1.028
17,10.0311,47,1.144
18,10.0311,57,1.034
19,10.0312,32,1.087
20,10.0312,47,1.184
21,10.0312,35,1.189
22,10.0311,37,1.087
23,10.0312,40,1.066
24,10.0312,42,1.194
25,10.0312,44,1.147
26,10.0312,44,1.205
27,10.0312,56,1.069
28,10.0312,36,1.147
29,10.0309,35,11.137
30,10.0311,51,1.092
