rodada,vazao_mbps,retransmissoes,rtt_ms
1,28.2058,127,1.283
2,25.3046,514,1.135
3,25.4442,96,1.109
4,29.7785,102,12.759
5,26.6675,126,1.380
6,24.3958,630,1.273
7,26.9822,168,1.236
8,28.9394,473,1.023
9,24.8853,870,1.224
10,24.3259,226,1.398
11,26.7027,604,1.150
12,28.0657,121,1.096
13,25.5488,216,1.210
14,26.458,400,1.000
15,27.8561,68,1.363
16,26.2834,631,1.537
17,24.8152,720,0.895
18,27.3663,457,1.284
19,24.3258,114,1.205
20,25.2344,516,0.862
21,23.6969,576,1.111
22,25.0945,272,1.335
23,24.3607,298,1.139
24,24.326,24,0.883
25,25.864,342,1.592
26,25.2346,581,1.425
27,28.6604,909,0.805
28,25.2344,346,1.503
29,24.6757,1264,1.229
30,25.6197,221,1.130
