rodada,vazao_mbps,retransmissoes,rtt_ms
1,29.7779,1338,1.114
2,40.8924,411,0.959
3,41.2766,133,1.274
4,24.6755,1321,1.144
5,40.4031,524,1.005
6,30.9315,180,1.086
7,37.954,840,0.985
8,33.4138,180,0.814
9,31.5959,450,0.952
10,34.8465,649,0.886
11,38.6559,962,1.087
12,29.8478,702,0.907
13,25.969,240,1.022
14,30.8958,559,0.897
15,28.2405,314,1.125
16,32.9242,540,5.030
17,32.1872,563,0.807
18,35.8949,648,2.706
19,32.5723,485,0.927
20,37.0138,540,1.273
21,34.1479,222,1.411
22,29.8837,495,1.405
23,28.4157,1026,0.908
24,37.0132,216,0.914
25,32.5028,104,0.829
26,31.5604,352,0.987
27,28.7297,360,0.955
28,30.093,824,1.033
29,24.2908,711,1.180
30,37.2225,544,1.306
