rodada,vazao_mbps,retransmissoes,rtt_ms
1,10.0311,30,0.822
2,10.0311,32,1.158
3,10.0311,36,0.968
4,10.0311,43,0.875
5,10.0311,41,0.921
6,10.0311,33,0.968
7,10.0312,15,0.820
8,10.0312,39,1.209
9,10.0311,32,1.036
10,10.031,58,1.086
11,10.0312,53,1.007
12,10.0311,54,1.008
13,10.0307,37,1.113
14,10.0309,33,0.948
15,10.0311,23,0.832
16,10.0311,24,1.104
17,10.0311,26,1.087
18,10.0311,23,1.025
19,10.0311,27,1.063
20,10.0312,44,1.068
21,10.0312,30,1.050
22,10.0308,35,1.248
23,10.0312,32,1.055
24,10.031,37,0.965
25,10.0311,20,0.968
26,10.0311,49,1.124
27,10.0311,39,0.885
28,10.0311,40,2.048
29,10.0312,29,0.907
30,10.031,44,1.036
